Treatment,n,P,g_C,TA_prod,TA_surplus,Percentage,q,phi
Control,80000,0.99,3 ± 0.072,55 ± 11,51 ± 11,35 ± 7.4,1 ± 0.061,5.9 ± 3.2
Sulfate,80000,1,3 ± 0.072,33 ± 6.5,29 ± 6.5,20 ± 4.4,0.98 ± 0.063,5.3 ± 2.3
Sulfur,80000,0.99,3 ± 0.072,49 ± 9.6,45 ± 9.6,30 ± 6.6,1 ± 0.06,6.2 ± 3
