Experiment,Location,n,C,N,C_N,d13C,d15N
1,Marmion Lagoon,6,34 ± 0.45,0.57 ± 0.0076,70 ± 1.4,-22 ± 0.14,3.3 ± 0.13
2,Point Peron,6,30 ± 0.72,1.5 ± 0.088,24 ± 1.5,-18 ± 0.29,3.5 ± 0.093
3,The Cove,6,31 ± 0.52,1.6 ± 0.17,23 ± 2.4,-20 ± 1,8.2 ± 0.71
